enuxsa.eas.asu.edu - - [02/Jun/1995:09:43:05 -0600] "GET /~macphed/mycard.html" 200 648
duke.usask.ca - - [02/Jun/1995:09:47:47 -0600] "GET /~medialit/gr23s.gif" 200 3666
enuxsa.eas.asu.edu - - [02/Jun/1995:09:50:23 -0600] "GET /~macphed/finite/fe_resources/node107.html" 200 1899
edu210.usask.ca - - [02/Jun/1995:09:54:02 -0600] "GET /education HTTP/1.0" 302 -
eng11.usask.ca - - [02/Jun/1995:09:58:15 -0600] "GET /images/logo.gif HTTP/1.0" 200 2273
slip5.ac.brocku.ca - - [02/Jun/1995:10:04:35 -0600] "GET /cgi-bin/hytelnet?file=OTH000 HTTP/1.0" 200 11103
gtaylor.si.edu - - [02/Jun/1995:10:08:16 -0600] "GET /~scottp/publish.html" 200 271
media.library.arizona.edu - - [02/Jun/1995:10:15:14 -0600] "GET /cgi-bin/hytelnet?file=SITES2 HTTP/1.0" 200 1091
sklib.usask.ca - - [02/Jun/1995:10:23:07 -0600] "GET / HTTP/1.0" 200 3384
educ013.usask.ca - - [02/Jun/1995:10:30:53 -0600] "GET / HTTP/1.0" 200 3384
ccn.cs.dal.ca - - [02/Jun/1995:10:41:55 -0600] "GET /~scottp/index.html" 200 2225
watt.usask.ca - - [02/Jun/1995:10:52:17 -0600] "GET /search.html HTTP/1.0" 200 956
duke.usask.ca - - [02/Jun/1995:10:58:38 -0600] "GET /~dougallg/fun.html" 200 5101
142.152.8.104 - - [02/Jun/1995:11:00:17 -0600] "GET /~lowey/Saskatchewan/recreation/index.html" 200 1429
geol39.usask.ca - - [02/Jun/1995:11:05:10 -0600] "HEAD / HTTP/1.0" 200 0
tazzie.usask.ca - - [02/Jun/1995:11:11:23 -0600] "GET /~philmic/" 200 993
educ3080.usask.ca - - [02/Jun/1995:11:17:24 -0600] "GET /education HTTP/1.0" 302 -
198.190.226.52.du.nauticom.net - - [02/Jun/1995:11:21:22 -0600] "GET /cgi-bin/hytelnet?file=WHATIS HTTP/1.0" 200 846
ipm.ento.vt.edu - - [02/Jun/1995:11:26:17 -0600] "GET /learnhtml.html HTTP/1.0" 200 3954
ped376.usask.ca - - [02/Jun/1995:11:34:41 -0600] "GET / HTTP/1.0" 200 3384
fermat.math.uregina.ca - - [02/Jun/1995:11:43:35 -0600] "GET /departments.html HTTP/1.0" 200 6060
lib74079.usask.ca - - [02/Jun/1995:11:51:07 -0600] "GET /images/question_32.gif HTTP/1.0" 200 214
pisces.rutgers.edu - - [02/Jun/1995:11:55:57 -0600] "GET /cgi-bin/hytelnet?file=US194 HTTP/1.0" 200 365
cancer.rutgers.edu - - [02/Jun/1995:12:00:05 -0600] "GET /cgi-bin/hytelnet?file=SITES1A HTTP/1.0" 200 489
ag58220.usask.ca - - [02/Jun/1995:12:05:23 -0600] "GET / HTTP/1.0" 200 3384
mason.usask.ca - - [02/Jun/1995:12:15:40 -0600] "GET / HTTP/1.0" 200 3384
sask.usask.ca - - [02/Jun/1995:12:24:15 -0600] "GET / HTTP/1.0" 200 3384
booth.usask.ca - - [02/Jun/1995:12:31:08 -0600] "GET /images/logo.gif HTTP/1.0" 200 2273
oit3et.oit.umass.edu - - [02/Jun/1995:12:40:12 -0600] "GET /images/right_32.gif HTTP/1.0" 200 0
mac40207.usask.ca - - [02/Jun/1995:12:47:49 -0600] "GET /departments.html HTTP/1.0" 200 6060
z121.euronet.nl - - [02/Jun/1995:12:52:03 -0600] "GET /cgi-bin/hytelnet?file=NL004 HTTP/1.0" 200 310
142.3.48.50 - - [02/Jun/1995:12:56:59 -0600] "GET /cgi-bin/hytelnet?file=CA000 HTTP/1.0" 200 6189
netcom16.netcom.com - - [02/Jun/1995:13:06:47 -0600] "GET /~scottp/free.html" 200 5924
espiral.hip.berkeley.edu - - [02/Jun/1995:13:10:59 -0600] "GET /~lowey/encyclopedia/icons/kevhead.gif" 200 1667
virgill.develcon.com - - [02/Jun/1995:13:15:17 -0600] "GET /~lowey/Saskatchewan/recreation/index.html" 200 1429
dial187133.wbm.ca - - [02/Jun/1995:13:20:41 -0600] "GET /~lowey/Saskatoon/icons/citynet.gif" 200 776
dial187133.wbm.ca - - [02/Jun/1995:13:29:39 -0600] "GET /~lowey/Saskatchewan/icons/sas-tiny.gif" 200 4091
ix-sac3-01.ix.netcom.com - - [02/Jun/1995:13:34:44 -0600] "GET /~scottp/publish.html" 200 271
128.233.59.103 - - [02/Jun/1995:13:40:39 -0600] "GET /horticulture/hort_info/changes.html HTTP/1.0" 200 1365
farmall.usask.ca - - [02/Jun/1995:13:47:35 -0600] "GET /images/logo.gif HTTP/1.0" 304 0
cirrus.usask.ca - - [02/Jun/1995:13:54:17 -0600] "GET /search/index.shtml HTTP/1.0" 200 1107
jcurro.tiac.net - - [02/Jun/1995:13:58:52 -0600] "GET /cgi-bin/hytelnet?file=SITES1A HTTP/1.0" 200 489
morning_light.usask.ca - - [02/Jun/1995:14:04:05 -0600] "GET / HTTP/1.0" 200 3384
atc.boeing.com - - [02/Jun/1995:14:08:12 -0600] "GET /~macphed/finite/fe_resources/node108.html" 200 2507
142.3.96.34 - - [02/Jun/1995:14:11:12 -0600] "GET /~lowey/Saskatchewan/icons/flag.gif" 200 227
mercury.cair.du.edu - - [02/Jun/1995:14:14:11 -0600] "GET /~scottp/index.html" 200 2225
lib200a.cfw.ndsu.nodak.edu - - [02/Jun/1995:14:16:19 -0600] "GET /~lowey/Saskatchewan/icons/flag.gif" 200 227
charly.publib.saskatoon.sk.ca - - [02/Jun/1995:14:18:57 -0600] "GET / HTTP/1.0" 200 3384
clipsie.ee.queensu.ca - - [02/Jun/1995:14:21:18 -0600] "GET /cgi-bin/pursuit-beta?7614 HTTP/1.0" 200 2567
doing.srlf.ucla.edu - - [02/Jun/1995:14:26:12 -0600] "GET /~turner/logo.GIF" 200 6761
bloor.torfree.net - - [02/Jun/1995:14:31:57 -0600] "GET /~scottp/free.html" 200 5924
acy1.digex.net - - [02/Jun/1995:14:38:40 -0600] "GET /~keele/images/whitebal.gif" 200 203
duke.usask.ca - - [02/Jun/1995:14:46:00 -0600] "GET /~dougallg/monalisa.gif" 200 684
slipper124175.iaccess.za - - [02/Jun/1995:14:51:08 -0600] "GET /~lowey/Saskatoon/icons/letter.gif" 200 149
helmholtz.usask.ca - - [02/Jun/1995:14:55:27 -0600] "GET /gsa/nexus.html HTTP/1.0" 404 -
lib74120.usask.ca - - [02/Jun/1995:14:58:11 -0600] "GET /images/letter_32.gif HTTP/1.0" 200 149
mcmahon.wharton.upenn.edu - - [02/Jun/1995:15:01:15 -0600] "GET /images/letter_32.gif HTTP/1.0" 200 149
duke.usask.ca - - [02/Jun/1995:15:07:39 -0600] "GET / HTTP/1.0" 200 3384
198.52.0.177 - - [02/Jun/1995:15:13:16 -0600] "GET /~keele/images/karate/zen_zuki.gif" 200 28782
cst8210.usask.ca - - [02/Jun/1995:15:19:15 -0600] "GET /chemistry/cassidy.htm HTTP/1.0" 200 1853
dev92019.usask.ca - - [02/Jun/1995:15:22:53 -0600] "GET /images/logo.gif HTTP/1.0" 304 0
vernon-11.junction.net - - [02/Jun/1995:15:30:07 -0600] "GET /~lowey/Saskatoon/" 200 1503
skt-as011.cycor.ca - - [02/Jun/1995:15:35:13 -0600] "GET /~lowey/icons/kevhead.gif" 200 1783
lib444.usask.ca - - [02/Jun/1995:15:39:37 -0600] "GET /~ladd/may95.html" 200 29084
www-c7.proxy.aol.com - - [02/Jun/1995:15:46:55 -0600] "GET /search/index.shtml HTTP/1.0" 200 1107
disarray.demon.co.uk - - [02/Jun/1995:15:52:54 -0600] "GET /~lowey/webville/help/about_webville.html" 200 1459
elk.usask.ca - - [02/Jun/1995:15:59:16 -0600] "GET /images/uofs_sign.gif HTTP/1.0" 200 53968
193.114.233.102 - - [02/Jun/1995:16:06:49 -0600] "GET / HTTP/1.0" 200 3384
queen.torfree.net - - [02/Jun/1995:16:14:12 -0600] "GET /~scottp/civic" 200 6181
sparkle.usask.ca - - [02/Jun/1995:16:19:38 -0600] "GET /images/logo.gif HTTP/1.0" 304 0
mac40212.usask.ca - - [02/Jun/1995:16:26:17 -0600] "GET /davs/index.html HTTP/1.0" 200 1855
ix-den14-23.ix.netcom.com - - [02/Jun/1995:16:34:30 -0600] "GET /cgi-bin/hytelnet?file=TH001 HTTP/1.0" 200 288
jumpline.latimes.com - - [02/Jun/1995:16:49:24 -0600] "GET /~lowey/encyclopedia/p/paleontology.html" 200 1868
mac5.link.ca - - [02/Jun/1995:16:59:23 -0600] "GET / HTTP/1.0" 304 0
ix-sr3-29.ix.netcom.com - - [02/Jun/1995:17:13:08 -0600] "GET /~scottp/free.html" 200 5924
doe-223-10.lib.berkeley.edu - - [02/Jun/1995:17:23:09 -0600] "GET / HTTP/1.0" 200 3384
j8.ptl1.jaring.my - - [02/Jun/1995:17:41:29 -0600] "GET /~lowey/" 200 1116
netcom5.netcom.com - - [02/Jun/1995:17:51:34 -0600] "GET /cgi-bin/hytelnet?file=TELNET HTTP/1.0" 200 6904
vidarr.usask.ca - - [02/Jun/1995:18:02:15 -0600] "GET /images/logo.gif HTTP/1.0" 200 2273
193.74.92.109 - - [02/Jun/1995:18:07:43 -0600] "GET /~lowey/webville/icons/help_32.gif" 200 214
vidarr.usask.ca - - [02/Jun/1995:18:14:14 -0600] "GET /images/book_32.gif HTTP/1.0" 200 242
levyfr01.nbnet.nb.ca - - [02/Jun/1995:18:22:17 -0600] "GET /~dougallg/b_canada.gif" 200 823
imhotep.usask.ca - - [02/Jun/1995:18:28:47 -0600] "GET / HTTP/1.0" 200 3384
bos1g.delphi.com - - [02/Jun/1995:18:41:10 -0600] "GET /cgi-bin/hytelnet?file=DK001 HTTP/1.0" 200 917
